image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.026653,0.008509,0.004055,0.001762,0.946884,0.00627,0.002933,0.002932
img_00007.jpg,0.648646,0.092213,0.005928,0.011262,0.001596,0.03639,0.007011,0.196953
img_00009.jpg,0.777848,0.069773,0.004956,0.00366,0.007802,0.118656,0.004601,0.012704
img_00018.jpg,0.714335,0.158474,0.010063,0.039068,0.011515,0.033584,0.008533,0.024427
img_00027.jpg,0.759975,0.027387,0.006582,0.002363,0.013493,0.102462,0.034226,0.053512
img_00030.jpg,0.77963,0.024774,0.009677,0.003256,0.135346,0.010756,0.005133,0.031428
img_00040.jpg,0.573849,0.020716,0.002066,0.002721,0.006158,0.101759,0.240626,0.052104
img_00046.jpg,0.883126,0.004235,0.004724,0.000931,0.100402,0.003253,0.001532,0.001796
img_00053.jpg,0.954441,0.005268,0.002739,0.000732,0.003495,0.016422,0.000479,0.016424
img_00071.jpg,0.249599,0.077244,0.02488,0.274102,0.025887,0.193245,0.012259,0.142784
img_00075.jpg,0.477979,0.17842,0.014478,0.007244,0.098361,0.183539,0.007769,0.03221
img_00102.jpg,0.014827,0.007631,0.001468,0.001716,0.000406,0.00745,0.003167,0.963335
img_00103.jpg,0.853087,0.036714,0.005024,0.00614,0.041241,0.033229,0.005324,0.019241
img_00109.jpg,0.983273,0.001983,0.000721,0.000168,0.009821,0.00118,0.001467,0.001387
img_00119.jpg,0.008207,0.012228,0.00833,0.003424,0.934402,0.010536,0.005507,0.017366
img_00120.jpg,0.199657,0.020826,0.002371,0.00337,0.003658,0.010981,0.052715,0.706423
img_00125.jpg,0.505167,0.022965,0.005975,0.010333,0.001772,0.074881,0.002787,0.376119
img_00128.jpg,0.023248,0.125953,0.472542,0.002748,0.013058,0.016047,0.007612,0.338792
img_00129.jpg,0.471972,0.038329,0.010828,0.014686,0.006975,0.102046,0.175848,0.179315
img_00133.jpg,0.103414,0.090262,0.004229,0.005953,0.684328,0.084749,0.006641,0.020424
img_00138.jpg,0.724229,0.036091,0.037619,0.006732,0.063083,0.082489,0.004922,0.044835
img_00141.jpg,0.001152,0.004916,0.00128,0.000369,0.000156,0.000579,0.000553,0.990995
img_00152.jpg,0.0036,0.00366,0.001902,0.000657,0.000679,0.006453,0.000674,0.982374
img_00161.jpg,0.019358,0.014043,0.015636,0.002662,0.007206,0.020029,0.013623,0.907443
img_00164.jpg,0.031287,0.027369,0.014277,0.00444,0.712521,0.024372,0.008378,0.177357
img_00170.jpg,0.678076,0.01465,0.003814,0.005346,0.035587,0.250558,0.002602,0.009366
img_00171.jpg,0.65781,0.020806,0.005852,0.008171,0.039867,0.246644,0.004087,0.016763
img_00172.jpg,0.005347,0.001764,0.001019,0.000387,0.986863,0.00157,0.001143,0.001908
img_00175.jpg,0.733745,0.017109,0.00962,0.017953,0.020926,0.185588,0.004538,0.010521
img_00180.jpg,0.075757,0.012995,0.018069,0.004133,0.055865,0.025507,0.006259,0.801416
img_00196.jpg,0.00911,0.012275,0.006028,0.002071,0.951324,0.007192,0.005229,0.006771
img_00212.jpg,0.20193,0.006748,0.00354,0.004221,0.005618,0.013292,0.003581,0.76107
img_00223.jpg,0.860083,0.017352,0.041506,0.005886,0.005401,0.050166,0.003334,0.016273
img_00230.jpg,0.86741,0.056118,0.006811,0.011785,0.004399,0.01148,0.003548,0.038449
img_00232.jpg,0.025429,0.196322,0.012638,0.003595,0.016266,0.005515,0.711988,0.028245
img_00244.jpg,0.541031,0.08762,0.006398,0.013554,0.010239,0.119757,0.008977,0.212424
img_00272.jpg,0.910765,0.026478,0.017062,0.003456,0.009236,0.023622,0.002438,0.006944
img_00280.jpg,0.428639,0.015277,0.010596,0.003715,0.46101,0.041917,0.00405,0.034797
img_00282.jpg,0.826467,0.011887,0.005344,0.01047,0.020197,0.111614,0.004525,0.009496
img_00285.jpg,0.684156,0.022404,0.003088,0.00233,0.010713,0.054819,0.020513,0.201979
img_00289.jpg,0.58445,0.006969,0.004498,0.002005,0.346351,0.035506,0.005072,0.015149
img_00292.jpg,0.147294,0.033858,0.004188,0.00673,0.003511,0.058576,0.035419,0.710426
img_00302.jpg,0.508765,0.038467,0.005873,0.003311,0.007423,0.131046,0.225756,0.07936
img_00311.jpg,0.949696,0.018802,0.004067,0.000543,0.018926,0.001477,0.002313,0.004178
img_00320.jpg,0.935927,0.027826,0.005604,0.001679,0.01343,0.002921,0.009036,0.003577
img_00331.jpg,0.743612,0.010543,0.002753,0.00161,0.006529,0.054921,0.011344,0.168689
img_00358.jpg,0.21882,0.025255,0.005093,0.007001,0.004742,0.091196,0.042647,0.605247
img_00374.jpg,0.348036,0.089115,0.005913,0.013522,0.001759,0.069348,0.012288,0.46002
img_00375.jpg,0.234604,0.046438,0.038763,0.270393,0.018633,0.251395,0.009906,0.129868
img_00376.jpg,0.704747,0.009229,0.004308,0.001296,0.01063,0.021324,0.018303,0.230163
img_00380.jpg,0.823655,0.022224,0.020964,0.003463,0.051964,0.066777,0.004763,0.006191
img_00383.jpg,0.89625,0.036894,0.005209,0.001571,0.02591,0.00582,0.007202,0.021143
img_00398.jpg,0.786818,0.014155,0.004032,0.002311,0.101108,0.05265,0.011516,0.02741
img_00407.jpg,0.811535,0.0516,0.010279,0.016366,0.009039,0.091501,0.002239,0.007442
img_00417.jpg,0.065634,0.001098,0.002282,0.000965,0.002131,0.002861,0.001487,0.923541
img_00432.jpg,0.260297,0.057844,0.028814,0.020537,0.062608,0.311738,0.023669,0.234491
img_00442.jpg,0.00139,0.007138,0.003691,0.000648,0.000509,0.001644,0.000838,0.984142
